Z3_1	Z3_2	Z3_3
437.8927	496.6176	627.4207
499.3729	556.4415	627.8777
430.8763	491.4572	627.0891
425.0345	461.0748	625.5305
427.258	469.5906	625.55
428.1252	470.9389	625.5479
428.1691	476.3945	625.6004
481.6436	563.8281	626.0309
440.1345	482.4862	626.6509
438.9165	480.283	625.8593
437.1794	480.5065	626.3161
421.1205	466.4621	627.2873
437.0585	471.7422	627.2857
420.9243	463.8008	627.2885
419.3891	473.0453	627.2869
420.4413	458.1859	627.2868
417.7005	456.5799	627.2921
424.3629	463.4789	627.2944
425.9224	468.6526	627.2909
428.7996	468.7717	627.2932
415.5437	447.3256	627.3013
417.291	431.4743	627.3002
438.2022	506.6651	630.3486
442.8237	508.3926	629.8686
428.6732	467.6272	625.9482
431.9286	469.6202	625.7789
426.4981	465.0598	626.1302
437.7994	469.6967	625.9161
427.4804	478.2074	625.614
432.609	479.1881	625.6009
442.6703	485.7736	625.712
425.5526	465.192	625.6296
424.2528	466.175	625.6719
429.9041	466.4761	625.7613
432.3268	471.0816	625.9614
442.4444	468.1302	625.8336
435.9591	477.0611	627.4537
437.6613	478.3582	627.4362
436.1155	480.4112	627.4417
424.8271	468.4452	627.4027
419.7933	452.388	627.3831
427.3437	470.2206	627.4133
448.9099	496.0995	627.3973
423.0199	465.337	627.334
421.2821	462.3643	627.3157
430.3059	473.6315	627.3433
428.7087	468.808	627.3239
421.0642	461.306	627.3065
426.4131	456.7505	627.2984
442.7073	487.6291	627.31
424.8221	484.1519	627.2877
443.9886	517.2421	627.2878
424.0583	465.8741	627.2902
431.8451	467.0604	627.2947
434.1773	448.2942	627.2966
440.4343	477.2156	627.2952
427.8263	444.2403	627.2986
428.0891	469.2224	627.2985
445.6003	507.1152	634.1931
469.3435	531.0767	628.3129
427.1538	512.5257	629.9424
425.7328	499.2352	629.3044
424.8352	494.0543	627.9132
468.2328	513.4752	626.339
436.3857	478.9464	627.3242
434.2336	461.6807	626.4634
465.1255	486.6555	626.3112
444.6171	477.5752	626.3255
423.0876	469.8506	625.8402
431.1772	495.8891	625.6857
443.849	545.3579	625.6873
433.8824	472.1338	625.8046
421.5306	461.7519	625.678
430.0027	460.4645	625.7201
439.8597	478.2112	627.4492
440.1364	479.1285	627.4424
440.9284	480.4983	627.4428
436.0225	479.3564	627.4313
432.864	472.5704	627.4164
444.9819	496.4421	627.4238
435.4084	480.7832	627.3937
429.1174	481.3614	627.3827
455.2575	486.1958	627.3951
431.0394	476.7489	627.3541
443.8601	470.4512	627.3358
446.1866	478.7267	627.3629
449.9677	472.0859	627.3459
424.1365	462.9434	627.321
434.5659	466.9568	627.3272
425.2921	460.976	627.3149
427.1481	461.2013	627.2997
431.0741	456.3327	627.2945
423.7921	451.9177	627.304
426.7223	455.7787	627.297
426.2169	457.1381	627.2911
426.469	462.8167	627.2889
427.8001	459.6407	627.2917
425.0244	458.496	627.2894
427.2784	466.5929	627.2908
445.8452	540.6171	627.2927
430.9285	472.0181	627.2896
449.3098	541.7996	627.2881
427.4518	466.9095	627.2927
430.4694	460.587	627.2951
432.7253	466.6461	627.2944
422.5824	452.1743	627.2974
421.5117	459.2115	627.2993
429.0574	468.5421	627.2983
428.1364	450.319	627.301
435.4889	439.959	627.3024
439.9618	460.6691	627.3016
444.1396	448.0703	627.3034
444.8854	467.8497	627.3032
447.3523	506.9225	627.3027
450.9312	523.0182	627.3021
447.7312	448.9399	627.3016
447.517	505.8167	627.3019
447.3839	451.9468	627.3007
447.9347	482.7839	627.3
451.1031	501.7178	633.0479
428.9467	489.6408	628.6006
424.3857	492.8567	628.7232
448.3071	487.7282	628.1885
446.8932	483.0763	627.4263
438.964	471.2449	627.4357
462.356	487.9197	627.4143
439.0417	471.2219	627.4279
467.8898	502.0272	627.4267
435.7298	486.2873	625.7789
473.2967	529.4088	627.4734
470.8292	527.4838	627.5399
506.2551	526.0198	627.4835
481.9657	523.993	627.5276
469.9201	527.7302	627.571
499.8726	524.8418	627.5615
470.2867	530.6893	627.5629
469.0771	524.2819	627.441
