Well_name	X_coord	Y_coord
661-2	553539.94	5002674
661-3	553680.19	5002569.38
662	553986.7	5002732.8
662-1	554137.5	5002735
662-2	553997.44	5002595
662-3	554120.25	5002640.49
663	554243	5002724
663-1	554316.18	5002782.55
663-2	554281.39	5002593.44
664	554752	5002727
664-1H	554818	5002805
665	555012	5002721.99
666	555242.71	5002733.88
666-1	555346.5	5002709
666-3	555362.5	5002509.97
667	555465.71	5002694.9
667-2	555501.47	5002597.92
668-3	549859	5002353
6696	549743.898	5003943
670	550239.21	5002370.2
670-3	550383.6	5002257.53
671	550484.21	5002400.49
671-1H	550795	5002436
671-3	550644.64	5002312
672	550736.71	5002465.49
672-1	550783	5002465
672-3	550858	5002356
673	550985.71	5002473.19
673-1	551158	5002477
673-1H	551095	5002521
673-3	551106	5002371
674	551241.4	5002469.3
674-3	551350	5002351
677	553241	5002478.96
677-2	553243	5002375
677-3	553376	5002375
678	553499.21	5002463.99
678-1	553607	5002464.63
678-3	553586.54	5002376.9
679	553747.8	5002468.3
679-1	553792	5002514
679-3	553794	5002342
680	553986.7	5002475.93
680-1	554123.8	5002460.28
680-2	553998.8	5002335.28
680-3	554111.81	5002337.4
681	554242.5	5002466.2
681-2	554250	5002348.5
681-3	554365.04	5002350.07
682	554492.1	5002474
682-1	554589	5002486
682-2	554500	5002342.58
682-3	554618.27	5002345.84
683	554676.1	5002512.61
683-1	554850	5002489
683-2	554768.66	5002342.58
684	555004	5002499.03
684-1	555126	5002491
684-1H	555180	5002643
684-2	555009	5002339
684-4H	554813	5002650
685	555243	5002468
685-1	555374.3	5002469
685-3	555386.4079	5002337.397
686	555493	5002476.02
686-1	555614.76	5002467.21
686-3	555608	5002343
687	555740	5002464
687-1	555882	5002470
687-3	555865	5002321
688	556286.72	5002411.2
688-3	556412	5002343
689	556551	5002348.985
689-2H	556709	5002197
690	556796.2	5002365.1
690-4S	556720	5002383
691	557026	5002363.2
692	557263.35	5002352.28
694-3	550111	5002090
696	550530	5002174
696-1H	550470	5002240
696-3	550655.2	5002077.61
698	553241.21	5002217.49
698-1	553346.5	5002217
698-2	553234.33	5002137.05
698-3	553346.5	5002121
699-1	553606.81	5002208.62
7	550553.93	5003103.64
701	551690	5004958.3
701-1	551813.5	5004950
701-2	551720.72	5004860.45
701-3	551801.51	5004851.66
702	551919	5004950
702-2	551892.36	5004862.38
703	552190	5004950
706	551690	5004708.2
706-1	551815	5004700
706-2	551739.04	5004635.42
706-3	551770.73	5004578.58
707	551919	5004729.19
707-2	551898.59	5004636.02
707-3	552063.6704	5004559.68
708	552190	5004700
708-3	552315.1304	5004555
709	552440	5004700
710	552690	5004700
711	551701	5004469.19
711-1	551826	5004472.5
711-2	551749.31	5004377.76
711-3	551812.08	5004323.78
711A	552939.7	5004699.4
712	551919	5004471
712-2	551891.17	5004385.35
712-3	552069	5004311
713	552190	5004458.09
713-3	552299.5	5004272
714	552440	5004450
714-3	552546	5004379
716	551440	5004934
716-1	551565	5004938
716-2	551460.57	5004791.7
716-3	551572.21	5004838.87
717	551440	5004676
717-1	551554	5004676
717-2	551446.02	5004563.64
717-3	551577.8	5004557.5
719	551190	5004934
719-1	551310	5004934
719-2	551224.13	5004802.45
719-3	551303.6	5004798.88
720	551190	5004676
720-1	551301.82	5004682.94
720-2	551185.38	5004562.85
720-3	551307.65	5004568.45
721-3	551320	5004318
722	550940	5004934
723	550940	5004676
724	550945.73	5004409.8
726	550690	5004676
727	550693.06	5004417.81
728	549700	5004193
728-1	549895.64	5004260.96
729	550440	5004676
730	550450	5004420
731	550202.27	5004152.99
732	550190	5004676
733	550200	5004420
734	551465	5004203
734-1	551590	5004203
735	549940	5004676
735-3	550023.1	5004501.08
736	549910.5	5004483
736-1	550002.85	5004443.85
736-3	550011.62	5004227.99
737	551701.21	5004211.49
737-1	551813.5	5004204.5
738	549700	5004451.35
738-1	549824.8	5004407.17
738-2	549715	5004318
738-3	549916.21	5004324.94
738A-3	549797	5004582
739	551919	5004221
740	552194.05	5004222.38
742	551432.17	5005140.59
742-3	551440	5005020
743	551682.17	5005143
744	551932.17	5005144
745-1	550317	5004189
746	550444.8	5004192.04
747	550694.99	5004188.87
748	550945.81	5004192.04
748-1	551051	5004176
749	551174	5004148
752-3	549553	5004311
753	549422.985	5004206.7
754	552445.0495	5004192.041
756	552696.8	5004447.1
758	553195.2	5004454.7
759	553442	5004451
761	552692.3	5004196.2
761-2S	552771.6	5004189.8
762	552947.6	5004196.2
763	553198.408	5004196.236
764	553445.4	5004196.2
765	553696.248	5004200.046
8	550441.99	5003222.7
801	552946	5004379
9	550664.93	5002983.74
9-2	550704	5002865
9-3	550833	5002865
900	554784.61	5004073.57
901	555563.36	5004455
901-1	555433.18	5004451.61
901-2	555705	5004415.5
902	555038.85	5004135
903	555277	5004135
904	554267	5004588
907	555028	5004587.99
907-3	555162	5004445.3
907-3-2S	555238.7	5004409.7
908	555296	5004587.89
908-1	555431.59	5004581.47
908-2	555295	5004451.6
911	555028	5004317.91
911-1	555164	5004320
911-3	555162	5004221.4
912	555296	5004317.85
912-1	555437	5004317
913	555542.5	5004279
913-1	555671.85	5004218.01
914	555813.23	5004415.5
915	555558.59	5004688.79
920	555020.6095	5005056
921	555267.6245	5005073.421
929	555049.8195	5004829.581
929-3	555157.273	5004695.771
930	555267.6	5004820.1
930-1	555403	5004826.3
930-2	555337.94	5004716.82
930-3	555434	5004690.37
935	555561.77	5004583.38
935-1	555701	5004583.4
3013	547724.28	5003907
5190	543522	5000079
723-3	551135	5004563
724-3	551097	5004339
919	554773	5005081.5
515	544745	5000130
14019-3	542897	5001737
4051H	542248	5000616
4068	543743.783	5000928.316
449-1H	542684	5000541
920-3	555145.6095	5004950.5
14-3	549441	5003501
6222	549739.4708	5003480
6238-3	549569	5002613
6246-3	549593	5002368
6252-3	549593	5002123.5
10501-2H	559936.3	5002917.2
G187	560854	5003766.56
14033	542263.6	5000935.62
3037	544759	5005442
